국가유산연계번호,문화재명(국문),국가유산종목,시대그룹,추정제작연도,문화재연령,재질,노출형태,위도,경도
2112604100002,영천향교 소장 고문서,시도유형문화유산,조선후기,1750,276,목조,반실외,35.9732205043331,128.938550862057
2223700450000,영천 목조각장,시도무형유산,기타,1900,126,목조,반실외,35.9732205043331,128.938550862057
2333700510000,전금강성장군황보능장묘,시도기념물,기타,1900,126,기타,반실외,35.9911500901698,128.989652754395
2333700620000,임고서원,시도기념물,기타,1900,126,목조,반실외,36.0167393040376,128.973519703691
2333700810000,영천충효재,시도기념물,기타,1900,126,목조,반실외,36.1080279695849,129.066708046708
2333701440000,고천서원,시도기념물,기타,1900,126,목조,반실외,36.017213370559,128.99068753831
2333701520000,영천청제,시도기념물,기타,1900,126,기타,반실외,35.9220267866527,128.942331746671
2333701560000,임란의병 한천전 승첩지,시도기념물,기타,1900,126,기타,반실외,36.0691529227864,128.899839202103
2333701830000,영천 정의번 시총,시도기념물,조선,1650,376,목조,반실외,36.0804185357607,129.015825166123
2443700200000,완귀정,시도민속문화유산,기타,1900,126,목조,반실외,35.9365051251218,128.935036425465
2443700870000,환구세덕사,시도민속문화유산,기타,1900,126,기타,반실외,36.0394790532901,128.96962931746
2443700880000,양계정사,시도민속문화유산,기타,1900,126,목조,반실외,35.9916979586432,128.916779667503
2443701390000,영천 지산고택,시도민속문화유산,기타,1900,126,목조,반실외,35.8567761751441,128.922102850136
2443701620000,영천 귀애정,시도민속문화유산,기타,1900,126,목조,반실외,36.0574333745711,128.873658723133
3413700240000,이대전유허비,문화유산자료,기타,1900,126,석조,실외,35.9816230192634,128.912069230817
3413701000000,도잠서원,문화유산자료,기타,1900,126,목조,반실외,35.84829860016,128.945334843424
3413701010000,유후재및옥비,문화유산자료,기타,1900,126,석조,실외,35.8782329073455,128.907472567591
3413701020000,신녕향교대성전,문화유산자료,조선,1650,376,목조,반실외,36.0486006174285,128.791287177868
3413701030000,영천공덕동삼층석탑,문화유산자료,기타,1900,126,석조,실외,36.0926747949803,128.963677082497
3413701040000,은해사거조암삼층석탑,문화유산자료,기타,1900,126,석조,실외,36.0200961,128.7645919
3413702300000,함계정사,문화유산자료,기타,1900,126,목조,반실외,36.0475947149407,128.977857490094
3413703670000,은해사 극락보전,문화유산자료,기타,1900,126,기타,반실외,35.9921439003741,128.789648343138
3413703730000,영천경주김씨지사공종택,문화유산자료,기타,1900,126,목조,반실외,36.0270755026617,128.993921000644
3413704520000,영천자천교회,문화유산자료,기타,1900,126,목조,반실외,36.1112250978976,128.920876140183
3413705170000,영천 향사당 입규 현판,문화유산자료,기타,1900,126,목조,반실외,35.9732205043331,128.938550862057
3413705630000,영천 영지사 범종각,문화유산자료,기타,1900,126,목조,반실외,35.8442066979931,128.951419984362
3413705940000,영천 육우당,문화유산자료,기타,1900,126,목조,반실외,35.9344160658482,128.937155684262
3413706750000,영천 묘봉암 법질별행록요병입사기,문화유산자료,기타,1900,126,기타,반실외,35.9732205043331,128.938550862057
3413706820000,영천 충효사 소장 불설아미타경,문화유산자료,조선초기,1500,526,기타,반실외,35.9732205043331,128.938550862057
3413707000000,구황촬요,문화유산자료,조선,1650,376,기타,반실외,35.9732205043331,128.938550862057
3413707030000,영천 아계서사,문화유산자료,조선후기,1750,276,기타,반실외,36.0485406286242,128.834978755883
2553700090000,임고서원은행나무,시도자연유산,기타,1900,126,목조,반실외,35.9907,128.9475
2553700210000,영천약남리회화나무,시도자연유산,기타,1900,126,기타,반실외,35.9014547930604,128.93195435135
4413700500000,영천역 급수탑,국가등록문화유산,기타,1900,126,기타,반실외,35.9585869825278,128.939307593593
4413702530000,영천 과전동 일본식 가옥,국가등록문화유산,기타,1900,126,기타,반실외,35.9671594022697,128.929612562408
4413702540000,영천 구 화룡교,국가등록문화유산,기타,1900,126,기타,반실외,35.9759720901567,128.910861289811
